|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|image_file|Medium|low_est|high_est|Sold|Artist|Movement
3535|2D|1952.0|Crayon|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6c7d06aba3540233fb5a8258c2d5e42d.jpg|Portrait de femme|HENRI MATISSE|Mar 1, 2017|images/henri_matisse/6c7d06aba3540233fb5a8258c2d5e42d.jpg||43092|55404|115425.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3536|2D|1935.0|Pencil|Paper|Yes|9.88 x 12.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8e6339b8f1b7bfad627df01993d0b303.jpg|Tête de femme|HENRI MATISSE|Mar 1, 2017|images/henri_matisse/8e6339b8f1b7bfad627df01993d0b303.jpg||30780|43092|138510.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3537|2D|1944.0|Oil|Canvas|Yes|24.25 x 19.88 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3c196e1a1c70c031c5b61bb1100402f3.jpg|Jeune fille aux anémones sur fond violet|HENRI MATISSE|Feb 28, 2017|images/henri_matisse/3c196e1a1c70c031c5b61bb1100402f3.jpg||6211000|8695400|10500316.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3538|2D|1905.0|Oil|Panel|Yes|16 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ff515fab82f59600983a1db449aab782.jpg|Paysage à Collioure|HENRI MATISSE|Feb 28, 2017|images/henri_matisse/ff515fab82f59600983a1db449aab782.jpg||745320|993760|826063.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3539|2D|1939.0|Pen, India Ink|Paper|Yes|20.63 x 15.88 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6ad188a7f4c491be39fb37fd383679b1.jpg|Buste de femme|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/6ad188a7f4c491be39fb37fd383679b1.jpg||80000|120000|150000.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3540|2D|1900.0|Pencil|Paper|Yes|9 x 12.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/12f1fcdcccd5dedfe14af8f0f3fe56a7.jpg|Femme nu de dos|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/12f1fcdcccd5dedfe14af8f0f3fe56a7.jpg||30000|50000|106250.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3541|2D|1939.0|Pencil|Paper|Unknown|16.5 x 12.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5cd2cd67b8e63ff91947899ed204d85b.jpg|La blouse roumaine|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/5cd2cd67b8e63ff91947899ed204d85b.jpg||80000|120000|100000.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3542|2D|1940.0|Pen, India Ink|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e1e89ee9d133d4d57b2924838efdf989.jpg|Nature morte|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/e1e89ee9d133d4d57b2924838efdf989.jpg||40000|60000|56250.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3543|2D|1944.0|Pen, India Ink|Paper|Yes|20.5 x 16.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/10079cb8cf1ea4107293aaab2d6a85ba.jpg|Nature morte|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/10079cb8cf1ea4107293aaab2d6a85ba.jpg||40000|60000|75000.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3544|2D|1927.0|Pen, India Ink|Paper|Yes|11 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6d67cfb4e037ac64ff842d83228e78eb.jpg|Odalisque|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/6d67cfb4e037ac64ff842d83228e78eb.jpg||100000|150000|143750.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3545|2D|1897.0|Oil|Canvas|Yes|15 x 18.13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d220b9b86474342eed473439ab475f6f.jpg|Paysage de Bretagne|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/d220b9b86474342eed473439ab475f6f.jpg||150000|200000|175000.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3546|2D|1920.0|Charcoal, Estompe|Paper|Yes|12.13 x 9.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ddae2b7ca1a995011ad9acce41e38e28.jpg|Portrait d’Henriette|HENRI MATISSE|Nov 17, 2016|images/henri_matisse/ddae2b7ca1a995011ad9acce41e38e28.jpg||60000|80000|60000.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3547|2D|1917.0|Oil|Cradled Panel|Yes|21.5 x 17.63 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3cf4cbc85131e38b6615df6fde01afbc.jpg|L'Italienne (Lorette)|HENRI MATISSE|Nov 16, 2016|images/henri_matisse/3cf4cbc85131e38b6615df6fde01afbc.jpg||2500000|3500000|2527500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3548|2D|1952.0|Brush, India Ink|Paper|Yes|25.63 x 19.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4d23b33b93295e0dbf32f10beb91dcfb.jpg|Tête de femme|HENRI MATISSE|Nov 16, 2016|images/henri_matisse/4d23b33b93295e0dbf32f10beb91dcfb.jpg||500000|800000|1327500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3549|2D|1927.0|Pen, Ink|Paper|Yes|11.75 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b4055e43f5a480ca5108799d12541525.jpg|Danseuse allongée|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/b4055e43f5a480ca5108799d12541525.jpg||50000|70000|62500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3550|2D|1900.0|Charcoal, Brush, Ink|Paper|Yes|12.25 x 19.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9950527bbac0a48fca8c2823233a67ef.jpg|FEMME ÉTENDUE|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/9950527bbac0a48fca8c2823233a67ef.jpg||30000|50000|32500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3551|2D|1900.0|Charcoal, Brush, Ink|Paper|Yes|12.25 x 19.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a34b7d5fbdf2d7da53f5d2f11db67daf.jpg|Femme étendue|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/a34b7d5fbdf2d7da53f5d2f11db67daf.jpg||30000|50000|32500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3552|2D|1905.0|Watercolor|Paper, Card|Yes|8.25 x 10.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/67ef2270fe09c2495110cc715b3ddbc7.jpg|LE PORT, COLLIOURE, LES FILETS QUI SÈCHENT|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/67ef2270fe09c2495110cc715b3ddbc7.jpg||180000|250000||HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3553|2D|1944.0|Pen, Ink|Paper|Yes|12.38 x 15.88 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/44aba9f27d763c1eb5f081791960f7e4.jpg|Les Pommes|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/44aba9f27d763c1eb5f081791960f7e4.jpg||20000|30000|47500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3554|2D|1915.0|Charcoal, Estompe|Paper|Yes|29.625 x 22.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e19deca9fcd43ccb506a85ca2ed4b185.jpg|NATURE MORTE AU LIERRE|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/e19deca9fcd43ccb506a85ca2ed4b185.jpg||150000|250000|118750.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3555|2D|1947.0|Pencil|Paper|Yes|14.63 x 11.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cb9c0a2f70b00c8707be78ef74cf9ff5.jpg|Portrait de Lydia|HENRI MATISSE|Nov 15, 2016|images/henri_matisse/cb9c0a2f70b00c8707be78ef74cf9ff5.jpg||60000|80000|137500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3556|2D|1923.0|Oil|Canvas|Yes|24 x 15.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1a7e7d43aa6c8b860efcd8948b5cd490.jpg|FEMME EN BLEU À TABLE, FOND ROUGE|HENRI MATISSE|Nov 14, 2016|images/henri_matisse/1a7e7d43aa6c8b860efcd8948b5cd490.jpg||5000000|7000000||HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3557|2D|1901.0|Oil|Canvas|Yes|18.375 x 21.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4d55f989263110465f72ac78a7613b38.jpg|LE PONT|HENRI MATISSE|Nov 14, 2016|images/henri_matisse/4d55f989263110465f72ac78a7613b38.jpg||600000|800000||HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
