|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
315|2D|1917|Oil|Canvas|Yes|24 x 18 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c513860e001ea98a866270edf57a7ae7.jpg|Iris jaune|CLAUDE MONET|images/claude_monet/c513860e001ea98a866270edf57a7ae7.jpg
316|2D|1882|Oil|Canvas|Yes|20.375 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/88a3eb258ea155786ca47a2a882f3386.jpg|Vase de chrysanthèmes|CLAUDE MONET|images/claude_monet/88a3eb258ea155786ca47a2a882f3386.jpg
317|2D|1893|Oil|Canvas|Yes|15.875 x 21.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9a51d3dc68348d6433a5a37a57b358ca.jpg|Glaçons, environs de Bennecourt|CLAUDE MONET|images/claude_monet/9a51d3dc68348d6433a5a37a57b358ca.jpg
318|2D|1884|Oil|Canvas|Yes|25.75 x 32.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/52798a14ed9aa7140f64f9b7cccc5c15.jpg|Oliviers et palmiers, vallée de Sasso|CLAUDE MONET|images/claude_monet/52798a14ed9aa7140f64f9b7cccc5c15.jpg
319|2D|1883|Oil|Canvas|Yes|20.25 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d4562b26d93359819edcc46e16fd2936.jpg|Pêches|CLAUDE MONET|images/claude_monet/d4562b26d93359819edcc46e16fd2936.jpg
320|2D|1880|Oil|Canvas|Yes|18.125 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/53d9e2f9e7b40bcd96ddca1fbd76bde1.jpg|Portrait de Jeanne Serveau|CLAUDE MONET|images/claude_monet/53d9e2f9e7b40bcd96ddca1fbd76bde1.jpg
321|2D|1885|Oil|Canvas|Yes|20.25 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c7487ecc44a7054928c4b27f765c6891.jpg|AZALÉES BLANCHES EN POT|CLAUDE MONET|images/claude_monet/c7487ecc44a7054928c4b27f765c6891.jpg
322|2D||Oil|Canvas|Yes|29.125 x 36.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6c8ea6c1b67baf4c194e987d5612b91c.jpg|LE VILLAGE DE LA ROCHE-BLOND AU SOLEIL COUCHANT|CLAUDE MONET|images/claude_monet/6c8ea6c1b67baf4c194e987d5612b91c.jpg
323|2D||Oil|Canvas|Yes|25.875 x 32.25 inch||PRÈS MONTE-CARLO|CLAUDE MONET|
324|2D|1907|Oil|Canvas|Yes|39.375 x 28.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/afab19fe803ce820b738aa9909a943ce.jpg|Nymphéas, temps gris|CLAUDE MONET|images/claude_monet/afab19fe803ce820b738aa9909a943ce.jpg
325|2D|1881|Oil|Canvas|Yes|29 x 39.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eef9a5b20b2bd4b6c5918a02890ff99c.jpg|La Seine à Vétheuil|CLAUDE MONET|images/claude_monet/eef9a5b20b2bd4b6c5918a02890ff99c.jpg
326|2D|1880|Oil|Canvas|Yes|21.25 x 31.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9a63e4f3a286786d7d04c8e584e3d55c.jpg|La Seine et les côteaux de Chantemesle|CLAUDE MONET|images/claude_monet/9a63e4f3a286786d7d04c8e584e3d55c.jpg
327|2D|1882|Oil|Canvas|Yes|7.25 x 15.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/de5264051346062587a80dcedfab3ede.jpg|Prunes et abricots|CLAUDE MONET|images/claude_monet/de5264051346062587a80dcedfab3ede.jpg
328|2D|1876|Oil|Canvas|Yes|21.625 x 29 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c255d47a5d60ae3c272a91aa100cb505.jpg|Bords de la Seine en automne|CLAUDE MONET|images/claude_monet/c255d47a5d60ae3c272a91aa100cb505.jpg
329|2D|1878|Oil|Canvas|Yes|32.625 x 24.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bf4648558f97e03b71dcc9650207ece5.jpg|Bouquet de glaïeuls, lis et marguerites|CLAUDE MONET|images/claude_monet/bf4648558f97e03b71dcc9650207ece5.jpg
330|2D|1900|Oil|Canvas|Yes|31.5 x 25.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/77d0ceae203fe7dd8780e44ad9d7cef2.jpg|Leicester Square, la nuit|CLAUDE MONET|images/claude_monet/77d0ceae203fe7dd8780e44ad9d7cef2.jpg
331|2D|1901|Oil|Canvas|Yes|35 x 36.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/88eeb42f589512a4fc0a48606969d752.jpg|Vétheuil, après-midi|CLAUDE MONET|images/claude_monet/88eeb42f589512a4fc0a48606969d752.jpg
332|2D|1880|Oil|Canvas|Yes|21.25 x 31.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/73d64c1a2bba30cf915d9b2b7a610bb7.jpg|Coucher de soleil à Lavacourt|CLAUDE MONET|images/claude_monet/73d64c1a2bba30cf915d9b2b7a610bb7.jpg
333|2D|1885|Oil|Canvas|Yes|28.875 x 36.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5e7a7de5abc3dab846bd8430fbb0816a.jpg|L'Aiguille, à travers la Porte d'Aval|CLAUDE MONET|images/claude_monet/5e7a7de5abc3dab846bd8430fbb0816a.jpg
334|2D|1913|Oil|Canvas|Yes||https://artbnk-art-resized-images.s3.amazonaws.com/w526/e79a6f6e5a85e6da4eaafe509a02e5e6.jpg|La Maison de l'artiste à Giverny|CLAUDE MONET|images/claude_monet/e79a6f6e5a85e6da4eaafe509a02e5e6.jpg
335|2D|1877|Oil|Canvas|Yes|23.625 x 28.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bfc11d75b5144fa85f19144d4acf53a0.jpg|La Seine à Argenteuil|CLAUDE MONET|images/claude_monet/bfc11d75b5144fa85f19144d4acf53a0.jpg
336|2D|1897|Oil|Canvas|Yes|51.5 x 35 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b590903db1d63844544da8c1e0f01a71.jpg|Massif de chrysanthèmes|CLAUDE MONET|images/claude_monet/b590903db1d63844544da8c1e0f01a71.jpg
337|2D|1885|Oil|Canvas|Yes|23.875 x 32 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bb733022a17699c1a5107536627ac276.jpg|Hameau de falaise près Giverny|CLAUDE MONET|images/claude_monet/bb733022a17699c1a5107536627ac276.jpg
338|2D||Oil|Canvas|Yes|25.625 x 31.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f854d3ccc40029c3f4dae7d006b747a2.jpg|La route de Giverny|CLAUDE MONET|images/claude_monet/f854d3ccc40029c3f4dae7d006b747a2.jpg
339|2D|1888|Oil|Canvas|Yes|28.75 x 36.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ae7ace454a624a2e62734e868e32e6eb.jpg|Plage de Juan-les-Pins|CLAUDE MONET|images/claude_monet/ae7ace454a624a2e62734e868e32e6eb.jpg
340|2D|1914|Oil|Canvas|Unknown|150 x 200 cm||NYMPHÉAS|CLAUDE MONET|
341|2D||Oil|Canvas|Yes|39.375 x 79 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/17c4334b6e3832d8e5eeeeaa45b4f596.jpg|LE BASSIN AUX NYMPHEAS|CLAUDE MONET|images/claude_monet/17c4334b6e3832d8e5eeeeaa45b4f596.jpg
342|2D|1885|Oil|Canvas|Yes|23.75 x 28.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eb1c623626099a0fa649a33f73b2c090.jpg|Le hameau de Falaise; paysage d'hiver|CLAUDE MONET|images/claude_monet/eb1c623626099a0fa649a33f73b2c090.jpg
343|2D|1881|Oil|Canvas|Yes|25.625 x 31.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2ed7b895cb033e69d3a3a89b2831fbdc.jpg|La Seine en crue à Vétheuil|CLAUDE MONET|images/claude_monet/2ed7b895cb033e69d3a3a89b2831fbdc.jpg
344|2D|1874|Oil|Canvas|Yes|22.125 x 29.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e12d9f1446be43fa723dc486a05acbb8.jpg|Le Binnen-Amstel, Amsterdam|CLAUDE MONET|images/claude_monet/e12d9f1446be43fa723dc486a05acbb8.jpg
345|2D|1894|Oil|Canvas|Yes|36.75 x 25.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2cafcb5cdd60d962ac253f1b51b30fd9.jpg|Paysage de Printemps à Giverny|CLAUDE MONET|images/claude_monet/2cafcb5cdd60d962ac253f1b51b30fd9.jpg
346|2D|1897|Oil|Canvas|Yes|25.625 x 39.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8921dc71736109ed1d24af7536c7fbd9.jpg|Sur la falaise près de Dieppe, soleil couchant|CLAUDE MONET|images/claude_monet/8921dc71736109ed1d24af7536c7fbd9.jpg
347|2D|1882|Oil|Canvas|Unknown|14.5 x 11.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c123e5b2d20836d01cc13b3fff0dfccc.jpg|Tête de chien griffon, Follette|CLAUDE MONET|images/claude_monet/c123e5b2d20836d01cc13b3fff0dfccc.jpg
348|2D|1914|Oil|Canvas|Yes|66.5 x 48.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f1dae1151cee0cea88145e72d29b8d79.jpg|Nymphéas|CLAUDE MONET|images/claude_monet/f1dae1151cee0cea88145e72d29b8d79.jpg
349|2D||Oil|Canvas|Yes|23.625 x 31.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c3c7fc274635f78180a9f08b75f3a9e4.jpg|Bord de Seine à Port-Villez|CLAUDE MONET|images/claude_monet/c3c7fc274635f78180a9f08b75f3a9e4.jpg
350|2D|1882|Oil|Canvas|Yes|23.25 x 27.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6b8b96b768c4349de0cf0703c643c8c5.jpg|Poste de douaniers à Dieppe|CLAUDE MONET|images/claude_monet/6b8b96b768c4349de0cf0703c643c8c5.jpg
351|2D|1872|Oil|Canvas|Yes|11.625 x 23.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8835d29761afe9ef79cd461a0b3127f8.jpg|La Seine à Argenteuil|CLAUDE MONET|images/claude_monet/8835d29761afe9ef79cd461a0b3127f8.jpg
