|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
826|2D|1895|Oil|Panel|Yes|5.375 x 9.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b7c131e4bafd3e344e9f23e35653156f.jpg|Le pont Saint-Michel, Paris (recto); Ecumes dans la brume (verso)|HENRI MATISSE|Jun 21, 2006|110,564 - 147,419 USD|176,903 USD|images/henri_matisse/b7c131e4bafd3e344e9f23e35653156f.jpg
827|2D|1951|Charcoal|Paper|Unknown||https://artbnk-art-resized-images.s3.amazonaws.com/w526/8f8481e6531eb3a73214cdbf050be6d1.jpg|DEUX FEMMES|HENRI MATISSE|May 4, 2006|140,000 - 180,000 USD|Unsold|images/henri_matisse/8f8481e6531eb3a73214cdbf050be6d1.jpg
828|2D|1929|Pencil|Paper|Yes|12.5 x 9.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8f8481e6531eb3a73214cdbf050be6d1.jpg|NU DANS INTÉRIEUR, NICE|HENRI MATISSE|May 4, 2006|50,000 - 70,000 USD|78,000 USD|images/henri_matisse/8f8481e6531eb3a73214cdbf050be6d1.jpg
829|2D|1939|Pen, India Ink|Paper|Yes|20.625 x 15.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/46217b1fecf5824f1fda7bcd0916fb43.jpg|Buste de femme|HENRI MATISSE|May 3, 2006|150,000 - 200,000 USD|520,000 USD|images/henri_matisse/46217b1fecf5824f1fda7bcd0916fb43.jpg
830|2D|1950|Charcoal|Paper|Yes|17.125 x 13.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/90a712e03645d1536d1ff853527b1061.jpg|Christine|HENRI MATISSE|May 3, 2006|40,000 - 60,000 USD|84,000 USD|images/henri_matisse/90a712e03645d1536d1ff853527b1061.jpg
831|2D|1936|Pen, India Ink|Paper|Unknown|11 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3fa5296fc67ce3e94970d0f91d9cfc5a.jpg|Femme au chapeau|HENRI MATISSE|May 3, 2006|30,000 - 40,000 USD|45,600 USD|images/henri_matisse/3fa5296fc67ce3e94970d0f91d9cfc5a.jpg
832|2D||India Ink|Paper|Yes|20.75 x 16 inch||FEMME HAITIENNE|HENRI MATISSE|May 3, 2006|400,000 - 600,000 USD|441,600 USD|
833|2D|1919|Pencil|Paper|Unknown|13.875 x 9.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c1f21132e359e136e6b77af4934d7367.jpg|Fille assise|HENRI MATISSE|May 3, 2006|20,000 - 30,000 USD|19,200 USD|images/henri_matisse/c1f21132e359e136e6b77af4934d7367.jpg
834|2D|1927|Pen, India Ink|Paper|Unknown|12 x 9 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b863eccd1054883f9ec76cbbaf813331.jpg|Nu à la glace|HENRI MATISSE|May 3, 2006|25,000 - 35,000 USD|28,800 USD|images/henri_matisse/b863eccd1054883f9ec76cbbaf813331.jpg
835|2D||Oil|Canvas|Yes|26 x 36.25 inch||NU COUCHÉ VU DE DOS|HENRI MATISSE|May 3, 2006|12,000,000 - 15,000,000 USD|18,496,000 USD|
